City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
629,Girua,BR,66.0,clear sky,-28.0283,-54.3497,Colinas Hotel
632,Mount Darwin,ZW,67.59,clear sky,-16.7725,31.5838,
636,Hambantota,LK,69.8,few clouds,6.1241,81.1185,Bungalow 63
639,Burnie,AU,68.0,light rain,-41.0667,145.9167,Beachfront Voyager Motor Inn
640,Palo Alto,US,60.01,clear sky,37.4419,-122.14299999999999,el PRADO Hotel
646,Richards Bay,ZA,74.19,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
653,Presidencia Roque Saenz Pena,AR,73.99,clear sky,-26.7852,-60.4388,Hotel Gualok
654,Parauna,BR,71.91,light rain,-16.9478,-50.4486,Hotel Serras de Paraúna
655,Bull Savanna,JM,73.13,overcast clouds,17.8868,-77.5902,Big Red's
658,Sagar,IN,56.71,broken clouds,23.8333,78.7167,Hotel Devyog
663,Cumbum,IN,64.17,clear sky,9.7333,77.3,Sagar hotel
666,Hirna,ET,55.72,clear sky,9.2167,41.1,Seid Ali
668,Adre,TD,61.47,clear sky,13.4667,22.2,
674,Baghdad,IQ,59.0,overcast clouds,33.3406,44.4009,Baghdad Hotel
680,Midland,US,55.4,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
684,Talara,PE,73.74,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
686,Waipawa,NZ,61.0,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
688,Akyab,MM,60.39,overcast clouds,20.15,92.9,Hotel Memory
690,Gat,IL,55.99,overcast clouds,31.61,34.7642,OlusHome
692,Benguela,AO,73.04,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
697,Laguna,US,60.8,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
700,Obo,CF,69.85,few clouds,5.3998,26.4869,
