City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Bilibino,RU,68.0546,166.4372,-14.12,79,100,9.33,overcast clouds
304,Yuxia,CN,34.0615,108.6291,42.01,59,0,4.47,clear sky
305,Manicore,BR,-5.8092,-61.3003,77.77,87,64,1.79,broken clouds
306,Tucuma,BR,-0.1833,-50.05,76.64,89,100,7.05,overcast clouds
307,Estelle,US,29.8458,-90.1067,66.99,72,75,14.97,broken clouds
308,Okato,NZ,-39.2,173.8833,69.01,51,0,15.99,clear sky
309,Abu Samrah,SY,35.3029,37.1841,51.22,84,60,12.15,broken clouds
310,Marawi,PH,7.9986,124.2928,79.0,80,100,5.99,overcast clouds
311,Hasaki,JP,35.7333,140.8333,42.8,42,20,8.05,few clouds
312,Amuntai,ID,-2.4177,115.2494,74.26,98,100,2.21,overcast clouds
313,Nhulunbuy,AU,-12.2333,136.7667,80.6,89,75,9.22,broken clouds
314,Marsa Matruh,EG,31.3525,27.2453,60.8,72,75,13.8,broken clouds
315,Talnakh,RU,69.4865,88.3972,-22.67,86,100,1.1,overcast clouds
316,Arak,IR,34.0917,49.6892,42.62,62,100,3.2,overcast clouds
317,Nyurba,RU,63.2842,118.3319,-40.22,80,60,4.94,broken clouds
318,Camopi,GF,3.1655,-52.3158,72.28,96,100,3.47,overcast clouds
319,Meulaboh,ID,4.1363,96.1285,76.69,83,43,4.18,scattered clouds
320,Beidao,CN,34.5686,105.8933,36.39,61,0,1.25,clear sky
321,Nador,MA,35.174,-2.9287,57.2,88,0,4.61,clear sky
322,Tromso,NO,69.6496,18.957,30.2,80,75,9.22,broken clouds
323,Loukhi,RU,66.0764,33.0381,2.43,93,74,9.42,broken clouds
324,Tessalit,ML,20.1986,1.0114,67.28,22,33,14.74,scattered clouds
325,Desbiens,CA,48.4178,-71.9495,17.6,86,20,2.3,few clouds
326,Ouadda,CF,8.0777,22.4007,73.29,21,0,6.91,clear sky
327,Najran,SA,17.4924,44.1277,57.2,33,0,4.61,clear sky
328,Tucuman,AR,-26.8241,-65.2226,78.8,69,0,1.41,clear sky
329,Kaitangata,NZ,-46.2817,169.8464,57.99,71,72,14.0,broken clouds
330,Cacu,BR,-18.5567,-51.1308,76.1,80,100,1.72,light rain
331,Manaus,BR,-3.1019,-60.025,82.4,78,20,4.61,few clouds
332,Vestmannaeyjar,IS,63.4427,-20.2734,39.87,72,100,29.95,overcast clouds
333,Morondava,MG,-20.2833,44.2833,80.98,78,100,3.87,overcast clouds
334,Airai,TL,-8.9266,125.4092,67.39,96,100,4.99,overcast clouds
335,Tigil,RU,57.8,158.6667,4.19,92,79,3.2,broken clouds
336,Lorca,ES,37.6712,-1.7017,50.0,79,97,1.99,overcast clouds
337,Glendive,US,47.1053,-104.7125,12.2,79,75,11.9,broken clouds
338,Raudeberg,NO,61.9875,5.1352,21.0,62,0,7.7,clear sky
339,Manzhouli,CN,49.6,117.4333,7.57,90,0,16.02,clear sky
340,Bondo,CD,3.8146,23.6866,71.47,79,96,0.36,overcast clouds
341,Portobelo,PA,9.55,-79.65,80.01,75,88,11.97,overcast clouds
342,Surt,LY,31.2089,16.5887,60.6,51,100,11.48,overcast clouds
343,Oriximina,BR,-1.7656,-55.8661,79.86,75,1,3.04,clear sky
344,Santo Antonio Do Sudoeste,BR,-26.0736,-53.7253,64.81,91,0,5.3,light rain
345,Tselinnoye,RU,53.0833,85.6667,9.14,92,100,3.24,overcast clouds
346,Gamba,GA,-2.65,10.0,78.31,88,100,1.88,light rain
